Filename:	TEST
Operator ID:	 
Sample ID:	HMm-1130 
Comment: 	 
Serial Number:	002042001 
Data Collected:	06.12.2019 12:19:21 
Sample Weight:	12.492 mg 
Display Weight:	12.492 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	TEST
Date/Time:	 
Initial Conditions 
Temperature:	 50.00 �C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1155 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00�C 
 
2)	Heat from 50.00�C to 700.00�C at 40.00�C/min 
 
3)	Hold for 2.0 min at 700.00�C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	4.400000	12.068438	0.000000	186.000000	132.080000	19.800000	0.000000 
	4.416667	12.063338	0.000000	186.666667	132.730000	19.800000	0.000000 
	4.433333	12.058663	0.000000	187.333333	133.380000	19.800000	0.000000 
	4.450000	12.055051	0.000000	188.000000	134.030000	19.800000	0.000000 
	4.466667	12.050164	0.000000	188.666667	134.680000	19.800000	0.000000 
	4.483333	12.046339	0.000000	189.333333	135.330000	19.800000	0.000000 
	4.500000	12.041877	0.000000	190.000000	135.990000	19.800000	0.000000 
	4.516667	12.036352	0.000000	190.666667	136.640000	19.800000	0.000000 
	4.533333	12.031253	0.000000	191.333333	137.300000	19.800000	0.000000 
	4.550000	12.028065	0.000000	192.000000	137.950000	19.800000	0.000000 
	4.566667	12.022541	0.000000	192.666667	138.610000	19.800000	0.000000 
	4.583333	12.017016	0.000000	193.333333	139.270000	19.800000	0.000000 
	4.600000	12.014041	0.000000	194.000000	139.930000	19.800000	0.000000 
	4.616667	12.007879	0.000000	194.666667	140.590000	19.800000	0.000000 
	4.633333	12.003204	0.000000	195.333333	141.250000	19.800000	0.000000 
	4.650000	11.999380	0.000000	196.000000	141.910000	19.800000	0.000000 
	4.666667	11.995343	0.000000	196.666667	142.580000	19.800000	0.000000 
	4.683333	11.990668	0.000000	197.333333	143.240000	19.800000	0.000000 
	4.700000	11.985781	0.000000	198.000000	143.910000	19.800000	0.000000 
	4.716667	11.981531	0.000000	198.666667	144.580000	19.800000	0.000000 
	4.733333	11.976431	0.000000	199.333333	145.240000	19.800000	0.000000 
	4.750000	11.971544	0.000000	200.000000	145.910000	19.800000	0.000000 
	4.766667	11.966869	0.000000	200.666667	146.580000	19.800000	0.000000 
	4.783333	11.961132	0.000000	201.333333	147.250000	19.800000	0.000000 
	4.800000	11.957095	0.000000	202.000000	147.920000	19.800000	0.000000 
	4.816667	11.952633	0.000000	202.666667	148.590000	19.800000	0.000000 
	4.833333	11.946896	0.000000	203.333333	149.270000	19.800000	0.000000 
	4.850000	11.943071	0.000000	204.000000	149.940000	19.800000	0.000000 
	4.866667	11.938184	0.000000	204.666667	150.610000	19.800000	0.000000 
	4.883333	11.933509	0.000000	205.333333	151.280000	19.800000	0.000000 
	4.900000	11.928835	0.000000	206.000000	151.960000	19.800000	0.000000 
	4.916667	11.924797	0.000000	206.666667	152.630000	19.800000	0.000000 
	4.933333	11.918848	0.000000	207.333333	153.310000	19.800000	0.000000 
	4.950000	11.914810	0.000000	208.000000	153.980000	19.800000	0.000000 
